DateKey,HotelKey,ProductCategoryKey,OrderID,ProductID,ProductName,Quantity,ProductPriceGBP,OrderTotalGBP
20150108,8,1,48,58,Mirror,1,85,85
20150114,6,1,88,58,Mirror,1,85,85
20150115,2,1,92,58,Mirror,3,85,255
20150125,8,1,161,58,Mirror,2,85,170
20150130,10,1,199,58,Mirror,3,85,255
20150203,4,1,214,58,Mirror,3,85,255
20150208,3,1,234,58,Mirror,1,85,85
20150213,2,1,273,58,Mirror,3,85,255
20150321,9,1,526,58,Mirror,2,85,170
20150328,10,1,570,58,Mirror,3,85,255
20150402,5,1,603,58,Mirror,3,85,255
20150414,2,1,686,58,Mirror,2,85,170
20150430,4,1,795,58,Mirror,2,85,170
20150513,8,1,888,58,Mirror,1,85,85
20150529,9,1,993,58,Mirror,1,85,85
20150630,1,1,1211,58,Mirror,1,85,85
20150707,10,1,1257,58,Mirror,3,85,255
20150712,9,1,1300,58,Mirror,3,85,255
20150728,6,1,1412,58,Mirror,1,85,85
20150916,9,1,1758,58,Mirror,2,85,170
20150921,2,1,1791,58,Mirror,3,85,255
20151027,4,1,2042,58,Mirror,1,85,85
20151110,2,1,2132,58,Mirror,3,85,255
20151113,3,1,2155,58,Mirror,2,85,170
20151115,5,1,2172,58,Mirror,2,85,170
20151119,4,1,2203,58,Mirror,3,85,255
20151129,9,1,2283,58,Mirror,2,85,170
20151204,10,1,2313,58,Mirror,2,85,170
20151222,3,1,2429,58,Mirror,1,85,85
20151223,1,1,2441,58,Mirror,1,85,85
20160104,5,1,2517,58,Mirror,3,85,255
20160116,6,1,2594,58,Mirror,3,85,255
20160130,3,1,2711,58,Mirror,1,85,85
20160204,10,1,2745,58,Mirror,2,85,170
20160210,6,1,2779,58,Mirror,3,85,255
20160211,6,1,2788,58,Mirror,1,85,85
20160213,3,1,2797,58,Mirror,2,85,170
20160213,7,1,2802,58,Mirror,3,85,255
20160218,2,1,2828,58,Mirror,2,85,170
20160301,4,1,2915,58,Mirror,1,85,85
20160302,6,1,2925,58,Mirror,1,85,85
20160307,9,1,2954,58,Mirror,2,85,170
20160314,9,1,3021,58,Mirror,1,85,85
20160323,2,1,3085,58,Mirror,3,85,255
20160330,8,1,3129,58,Mirror,1,85,85
20160412,5,1,3222,58,Mirror,2,85,170
20160412,10,1,3228,58,Mirror,2,85,170
20160414,4,1,3243,58,Mirror,3,85,255
20160428,1,1,3349,58,Mirror,2,85,170
20160522,6,1,3530,58,Mirror,3,85,255
20160607,1,1,3654,58,Mirror,2,85,170
20160608,8,1,3658,58,Mirror,1,85,85
20160612,4,1,3686,58,Mirror,3,85,255
20160624,7,1,3782,58,Mirror,3,85,255
20160629,5,1,3810,58,Mirror,2,85,170
20160709,8,1,3878,58,Mirror,1,85,85
20160716,2,1,3909,58,Mirror,3,85,255
20160722,10,1,3964,58,Mirror,3,85,255
20160722,5,1,3965,58,Mirror,1,85,85
20160725,2,1,3982,58,Mirror,2,85,170
20160808,9,1,4077,58,Mirror,1,85,85
20160817,8,1,4135,58,Mirror,2,85,170
20160819,6,1,4149,58,Mirror,2,85,170
20160824,6,1,4189,58,Mirror,1,85,85
20160901,7,1,4249,58,Mirror,3,85,255
20161017,7,1,4530,58,Mirror,1,85,85
20161024,7,1,4575,58,Mirror,1,85,85
20161123,8,1,4774,58,Mirror,3,85,255
20161212,9,1,4893,58,Mirror,3,85,255
20150101,7,1,1,41,Office Chair,1,85,85
20150109,8,1,53,51,Painting,3,85,255
20150110,9,1,57,41,Office Chair,2,85,170
20150121,1,1,128,41,Office Chair,2,85,170
20150125,7,1,163,41,Office Chair,2,85,170
20150128,5,1,184,51,Painting,2,85,170
20150214,6,1,279,51,Painting,3,85,255
20150216,8,1,295,51,Painting,2,85,170
